rank,Gender,Age at enrollment,Course,Application mode,Daytime/evening attendance,Tuition fees up to date,Debtor,Scholarship holder,Curricular units 1st sem (approved),Curricular units 1st sem (grade),dropout_probability,risk_tier
27,0,22,9,16,1,0,1,0,0,0.0,0.989547100769004,High Risk
28,1,21,15,8,1,1,0,0,0,0.0,0.9888016527525157,High Risk
29,1,18,7,1,1,1,0,0,0,0.0,0.9887942423205865,High Risk
30,1,25,7,12,1,1,0,0,1,11.0,0.9886439506288885,High Risk
31,1,22,7,15,1,1,0,0,0,0.0,0.9884571871212166,High Risk
32,1,19,9,1,1,1,0,0,0,0.0,0.9884359733214716,High Risk
33,1,25,1,14,1,1,0,0,5,11.6,0.9883306563466208,High Risk
34,1,21,14,8,1,0,1,0,4,12.25,0.9880487903568197,High Risk
35,0,18,15,14,1,1,0,0,0,0.0,0.9868283864871716,High Risk
36,1,18,9,8,1,1,1,0,0,0.0,0.9862033157464761,High Risk
37,0,50,17,12,0,1,0,0,2,10.5,0.9861976620544022,High Risk
38,1,40,9,6,1,1,1,0,1,11.0,0.9860172544202371,High Risk
39,1,26,17,1,0,1,0,0,2,11.5,0.9859508925197021,High Risk
40,1,18,7,1,1,1,0,0,0,0.0,0.9857408514028152,High Risk
41,1,23,9,14,1,1,0,0,1,10.0,0.9857306940333079,High Risk
42,1,22,5,8,1,1,0,0,1,11.0,0.9856744209069934,High Risk
43,1,30,12,12,1,1,1,0,4,14.4,0.9853388654959766,High Risk
44,0,31,10,12,1,1,0,0,0,0.0,0.9852572023502916,High Risk
45,1,18,9,1,1,0,0,0,3,11.333333333333334,0.9852442654626704,High Risk
46,0,20,13,6,1,1,0,0,0,0.0,0.9852221544757926,High Risk
47,0,23,9,8,1,1,0,0,2,10.0,0.9847314877361117,High Risk
48,0,18,8,8,1,0,1,0,5,12.4,0.9846721789949474,High Risk
49,1,18,9,8,1,1,0,0,0,0.0,0.984587969662627,High Risk
50,0,18,9,14,1,1,0,0,0,0.0,0.9843546645107143,High Risk
51,0,21,14,17,1,1,1,0,1,12.0,0.9843523834478184,High Risk
52,1,21,14,14,1,1,0,0,2,10.0,0.983932657350054,High Risk
53,1,20,14,8,1,0,1,0,5,12.4,0.9838586910620314,High Risk
54,1,23,11,15,1,1,1,0,3,11.5,0.9832909254033102,High Risk
55,0,19,9,1,1,1,1,0,1,10.0,0.9830443574364918,High Risk
56,0,19,13,6,1,1,1,0,0,0.0,0.9828075340389404,High Risk
57,1,29,15,1,1,0,0,0,6,16.5,0.9825365968288741,High Risk
58,0,18,12,8,1,1,0,0,0,0.0,0.9821641215402404,High Risk
59,0,19,6,14,1,1,0,0,0,0.0,0.9818141887028676,High Risk
60,1,23,15,14,1,1,0,0,1,13.0,0.9817217505943271,High Risk
61,1,34,7,12,1,1,1,1,1,17.0,0.9815589724046663,High Risk
62,1,19,7,15,1,1,0,0,2,12.5,0.9815054365696921,High Risk
63,0,34,17,12,0,1,0,0,2,11.5,0.9812227984896988,High Risk
64,0,22,16,1,1,0,1,0,6,11.5,0.9811160521661604,High Risk
65,0,24,6,15,1,0,1,0,4,12.5,0.9795524870301202,High Risk
66,0,24,9,12,1,1,0,0,2,10.5,0.9795361518402598,High Risk
67,1,18,7,1,1,1,0,0,2,11.666666666666666,0.9794800842138335,High Risk
68,0,26,13,12,1,1,0,1,0,0.0,0.9789195058905564,High Risk
69,1,33,8,14,1,1,0,0,1,13.0,0.9787465758223763,High Risk
70,0,19,16,1,1,1,0,0,3,10.333333333333334,0.9785085003835123,High Risk
71,1,19,9,8,1,1,0,0,2,10.5,0.978386833593904,High Risk
72,1,20,9,8,1,1,0,0,2,10.5,0.9782280817985792,High Risk
73,1,20,4,15,1,1,0,0,3,10.666666666666666,0.9780768443679936,High Risk
74,0,20,17,1,0,1,0,0,0,0.0,0.9773312988385059,High Risk
75,1,30,7,4,1,1,1,0,4,14.5,0.9769663713030186,High Risk
76,0,23,3,1,0,1,0,0,2,10.0,0.9759873734359924,High Risk
77,0,20,9,8,1,1,1,0,2,11.5,0.9729435782735568,High Risk
78,0,24,9,1,1,1,0,0,2,10.5,0.9728682307615396,High Risk
79,1,19,14,8,1,1,0,0,0,0.0,0.9726511613366909,High Risk
80,1,19,7,1,1,1,0,0,1,13.0,0.9714836881224599,High Risk
81,0,37,17,12,0,1,0,0,2,10.0,0.9714717405937767,High Risk
82,0,48,12,12,1,1,0,0,4,11.75,0.9687422476584089,High Risk
83,0,18,5,7,1,1,0,0,1,11.0,0.9687000329947179,High Risk
84,1,19,9,8,1,0,1,0,4,12.5,0.96812538227154,High Risk
85,0,28,12,12,1,1,1,0,4,13.375,0.9678497891454325,High Risk
86,0,19,9,8,1,1,0,0,1,11.0,0.9675866419927388,High Risk
87,1,41,7,15,1,1,1,0,5,14.333333333333334,0.9667463199803488,High Risk
88,1,18,7,8,1,1,1,0,4,12.5,0.9663437802599018,High Risk
89,0,24,17,8,0,1,0,0,2,11.5,0.9662170835959561,High Risk
90,0,18,15,1,1,1,0,0,1,11.0,0.966117717070559,High Risk
91,1,21,6,14,1,1,0,0,0,0.0,0.9657009266935932,High Risk
92,0,23,6,17,1,0,0,0,9,13.666666666666666,0.9653902144565206,High Risk
93,0,39,4,12,1,1,0,0,2,13.0,0.965372349068384,High Risk
94,0,20,9,1,1,1,0,0,2,10.0,0.9635505924634338,High Risk
95,0,18,9,8,1,1,0,0,1,11.0,0.9631024585610508,High Risk
96,1,18,7,9,1,1,1,0,3,10.666666666666666,0.9630327272309767,High Risk
97,0,26,6,12,1,1,0,0,3,11.75,0.9627816880486273,High Risk
98,0,20,10,1,1,1,0,0,0,0.0,0.9622270305563047,High Risk
99,1,20,11,1,1,1,0,0,3,10.0,0.9611511556439137,High Risk
100,0,18,10,8,1,1,0,0,2,10.333333333333334,0.9599870590471137,High Risk
101,1,19,11,14,1,1,0,0,3,12.5,0.959199613746961,High Risk
102,0,19,6,8,1,1,0,0,1,11.0,0.9583994624498643,High Risk
103,0,19,5,1,1,1,0,0,2,10.5,0.9582536300945255,High Risk
104,0,21,6,1,1,1,1,0,2,11.5,0.9580375475564529,High Risk
105,0,19,10,8,1,1,0,0,1,11.5,0.9577012675317261,High Risk
106,1,20,7,15,1,1,0,0,0,0.0,0.9576370694817256,High Risk
107,1,24,14,8,1,1,0,0,4,11.25,0.9572899990922058,High Risk
108,1,23,7,15,1,1,0,0,3,14.0,0.9568456282413625,High Risk
109,0,18,9,1,1,1,0,0,1,11.0,0.9562675364600323,High Risk
110,0,18,9,1,1,1,0,0,2,10.0,0.9560454389925429,High Risk
111,1,22,9,8,1,0,0,0,4,11.5,0.9557421947493722,High Risk
112,0,18,5,7,1,1,0,0,1,15.0,0.9543370218179623,High Risk
113,0,23,8,1,1,0,1,0,6,14.0,0.9531305431533952,High Risk
114,0,21,8,1,1,1,0,0,1,11.0,0.9528374623848672,High Risk
115,1,33,12,12,1,1,0,1,1,10.0,0.9527246310509202,High Risk
116,0,19,9,13,1,1,0,0,2,11.5,0.9522524323809035,High Risk
117,0,20,10,1,1,1,0,0,1,10.0,0.951882436321028,High Risk
118,1,19,5,14,1,1,0,0,3,11.666666666666666,0.9500126076041727,High Risk
119,1,21,6,1,1,1,0,0,3,11.25,0.9467620181455423,High Risk
120,0,19,12,1,1,1,0,0,1,13.67,0.9463117797832153,High Risk
121,1,22,15,14,1,1,0,0,3,11.333333333333334,0.9458557189664972,High Risk
122,0,20,10,1,1,1,0,0,1,12.0,0.9447420133298529,High Risk
123,1,19,6,8,1,0,0,0,5,13.6,0.9441231392094885,High Risk
124,0,18,8,14,1,1,1,0,1,12.0,0.9437499215964887,High Risk
125,0,18,16,8,1,1,0,0,3,12.333333333333334,0.9433615280529336,High Risk
126,0,18,9,1,1,1,0,0,2,10.5,0.9431104715309931,High Risk
127,0,18,13,14,1,1,0,0,0,0.0,0.9424518202902807,High Risk
128,1,21,12,14,1,1,0,1,0,0.0,0.9415410768504243,High Risk
129,1,24,17,16,0,1,1,0,7,10.714285714285714,0.9408084044876638,High Risk
130,0,18,16,1,1,1,0,0,3,12.0,0.9406418796084528,High Risk
131,0,23,15,14,1,1,0,0,3,11.333333333333334,0.9401631964034786,High Risk
132,1,23,2,1,1,1,1,0,13,12.153846153846152,0.9401282599801439,High Risk
133,1,40,17,12,0,1,0,0,3,11.0,0.9397802837062708,High Risk
134,1,22,4,15,1,1,0,0,3,13.333333333333334,0.9394773317673626,High Risk
135,0,25,13,14,1,1,0,0,3,13.0,0.939320689656318,High Risk
136,0,18,16,1,1,1,1,0,5,13.6,0.9372480074186865,High Risk
137,0,21,10,8,1,1,0,1,1,10.0,0.9370927664596644,High Risk
138,0,18,5,1,1,0,0,0,5,12.2,0.9361525105588734,High Risk
139,1,18,7,1,1,0,0,1,5,12.2,0.9345148413532745,High Risk
140,1,25,17,12,0,1,1,0,4,11.0,0.9316834336226766,High Risk
141,0,18,16,8,1,1,0,0,5,11.4,0.9312791270939195,High Risk
142,0,20,11,8,1,1,0,0,3,10.333333333333334,0.9303827810957561,High Risk
143,0,18,10,9,1,1,0,0,1,12.0,0.9298255076762758,High Risk
144,0,21,10,15,1,1,1,0,3,12.0,0.9295746030809178,High Risk
145,0,19,6,15,1,1,0,0,1,13.0,0.9274833836676815,High Risk
146,1,42,16,1,1,1,0,0,5,12.4,0.9262191044458759,High Risk
147,0,23,6,17,1,0,1,0,11,13.166666666666666,0.9250591377490236,High Risk
148,0,19,14,1,1,1,0,0,3,11.666666666666666,0.9245432913310095,High Risk
149,1,18,7,1,1,1,0,0,2,14.0,0.9244202685365788,High Risk
150,1,20,9,1,1,1,0,0,2,14.333333333333334,0.9243692839814673,High Risk
151,0,20,12,1,1,1,0,1,0,0.0,0.9229099831336505,High Risk
152,0,18,15,9,1,0,0,0,5,12.6,0.922701918133591,High Risk
153,0,20,12,9,1,1,0,1,0,0.0,0.9219188978224804,High Risk
154,0,19,6,14,1,0,0,0,5,13.0,0.9218675251150453,High Risk
155,0,18,11,8,1,0,0,0,5,12.6,0.9218162654106922,High Risk
156,1,18,7,8,1,1,0,0,3,11.0,0.919121021396352,High Risk
157,1,28,7,12,1,1,0,0,4,10.5,0.9180897611673315,High Risk
158,1,47,17,12,0,1,0,0,4,10.0,0.9169860456139912,High Risk
159,1,20,7,15,1,1,0,0,1,13.0,0.9164005632417631,High Risk
160,1,26,11,9,1,1,0,0,4,10.0,0.9148076589716027,High Risk
161,0,26,3,12,0,1,0,0,3,10.666666666666666,0.91368651912702,High Risk
162,1,24,7,12,1,1,0,0,3,10.666666666666666,0.9066054744324853,High Risk
163,1,25,9,14,1,1,0,0,3,11.0,0.9056898485001348,High Risk
164,1,18,9,1,1,1,0,0,2,13.5,0.9020927560751649,High Risk
165,0,19,4,15,1,1,0,0,3,11.666666666666666,0.9015401540239615,High Risk
166,0,20,6,15,1,1,0,0,2,14.5,0.9014070752116916,High Risk
167,1,19,8,15,1,1,0,0,5,11.6,0.9004456515593423,High Risk
168,0,24,6,17,1,0,1,0,8,13.125,0.8979819365488254,High Risk
169,0,18,6,8,1,1,0,0,2,11.5,0.8956712238694658,High Risk
170,1,21,6,9,1,0,0,0,5,14.0,0.895417972511413,High Risk
171,1,19,8,1,1,1,0,0,2,11.5,0.895360906626675,High Risk
172,0,18,16,8,1,1,1,0,4,13.25,0.8907902816329628,High Risk
173,1,23,13,16,1,1,0,0,5,12.414285714285713,0.8893121134185371,High Risk
174,1,19,7,1,1,1,0,0,3,10.666666666666666,0.8890284368132609,High Risk
175,0,21,6,15,1,1,0,0,3,11.75,0.8875774416580978,High Risk
176,1,21,9,6,1,1,1,0,3,12.333333333333334,0.8870770522905072,High Risk
177,0,27,12,12,1,1,0,0,4,14.0,0.8865780587097033,High Risk
178,0,19,9,1,1,1,0,1,2,10.5,0.8860628041133778,High Risk
179,0,18,16,8,1,1,1,0,4,13.5,0.8848249733810293,High Risk
180,1,20,9,8,1,1,0,0,3,11.0,0.8839818027566321,High Risk
181,0,18,6,1,1,1,0,0,3,12.333333333333334,0.8827158295416497,High Risk
182,1,18,7,8,1,1,0,0,4,12.5,0.878532853644073,High Risk
183,0,20,16,14,1,1,0,0,4,12.25,0.8783808108219708,High Risk
184,1,20,4,15,1,1,0,0,4,10.8,0.8706972849406196,High Risk
185,0,22,16,8,1,1,0,0,4,12.25,0.8675742307435315,High Risk
186,0,18,16,1,1,1,0,0,5,12.0,0.865690303816187,High Risk
187,1,20,15,8,1,1,0,0,3,13.666666666666666,0.865284790928803,High Risk
188,1,32,15,14,1,1,0,0,7,11.285714285714286,0.8616693959049414,High Risk
189,0,19,9,8,1,1,0,1,2,10.0,0.8610586851467195,High Risk
190,0,44,6,12,1,0,0,1,4,12.75,0.8573740329568337,High Risk
191,1,18,7,8,1,1,0,0,4,13.0,0.8572466573964643,High Risk
192,1,21,4,15,1,1,0,0,4,11.75,0.8564175096370152,High Risk
193,1,37,17,12,0,1,0,0,4,10.75,0.8515809645357164,High Risk
194,0,22,16,3,1,1,0,0,3,15.0,0.8501856671597285,High Risk
195,1,34,5,14,1,1,0,0,7,11.428571428571429,0.8490229462769632,High Risk
196,1,20,6,15,1,0,0,0,5,13.2,0.8488002288871461,High Risk
197,1,24,8,12,1,1,0,0,6,11.333333333333334,0.8483745990355192,High Risk
198,1,20,8,1,1,1,0,0,2,11.0,0.848369185741632,High Risk
199,0,27,17,12,0,1,0,0,3,10.666666666666666,0.8482686993370746,High Risk
200,0,18,10,1,1,1,0,1,0,0.0,0.8476581068531234,High Risk
201,0,20,15,1,1,1,0,0,1,17.0,0.8462920549417081,High Risk
202,0,19,10,1,1,1,0,0,2,13.0,0.843817826097053,High Risk
203,0,19,12,1,1,1,0,1,4,12.65,0.8433738631459149,High Risk
204,1,18,7,8,1,1,0,0,4,12.0,0.8426819041477818,High Risk
205,0,30,17,12,0,1,0,0,3,10.666666666666666,0.8419721952931087,High Risk
206,1,22,10,1,1,1,0,0,4,11.25,0.8417153872115264,High Risk
207,0,28,17,14,0,1,0,0,6,10.666666666666666,0.8349649137446117,High Risk
208,1,19,9,8,1,1,1,0,4,11.0,0.8302769832569213,High Risk
209,0,24,13,12,1,1,0,0,5,12.4,0.8250527437774781,High Risk
210,0,19,6,1,1,1,0,0,2,14.5,0.8228299358282699,High Risk
211,1,18,7,1,1,1,0,0,4,12.0,0.8221226001274965,High Risk
212,0,18,2,14,1,1,0,0,0,0.0,0.8217652667629128,High Risk
213,0,18,9,14,1,1,0,0,1,14.0,0.8190284002198994,High Risk
214,0,26,12,12,1,1,0,0,5,11.2,0.8166501380267652,High Risk
215,1,19,2,1,1,1,1,0,0,0.0,0.816529061234686,High Risk
216,0,25,17,12,0,1,1,0,4,11.25,0.8161504326660048,High Risk
217,0,19,16,1,1,1,0,0,4,12.5,0.8136464923082163,High Risk
218,1,20,4,15,1,1,0,0,4,11.6,0.8079309584345811,High Risk
219,1,18,7,1,1,1,0,0,4,10.5,0.8039455302721061,High Risk
220,1,22,12,13,1,1,0,0,3,14.5,0.8014530611998865,High Risk
221,0,18,16,9,1,1,0,0,6,12.0,0.801051596670046,High Risk
222,0,18,12,6,1,1,0,0,4,11.575,0.8008661182607867,High Risk
223,1,18,11,8,1,1,0,1,3,10.666666666666666,0.8006188355579182,High Risk
224,0,21,6,8,1,1,0,0,2,13.0,0.7992620853513142,High Risk
225,1,33,12,12,1,1,0,0,5,13.06,0.7975503506512728,High Risk
226,1,18,7,14,1,1,0,0,4,12.25,0.7972825405846828,High Risk
227,0,19,16,7,1,1,0,0,5,12.2,0.7952897940389922,High Risk
228,0,39,12,12,1,1,0,0,5,12.16,0.7952637220524352,High Risk
229,1,19,14,1,1,1,0,0,3,11.333333333333334,0.793500914459005,High Risk
230,0,19,12,1,1,1,0,0,4,13.375,0.7921732816525708,High Risk
231,0,18,16,1,1,1,0,0,5,12.2,0.7907844249289281,High Risk
232,1,18,7,1,1,1,0,0,4,10.0,0.7902931806096146,High Risk
233,0,31,17,15,0,1,0,0,4,12.25,0.7901132972567997,High Risk
234,1,33,7,12,1,1,0,0,4,12.0,0.7862874944921371,High Risk
235,0,21,10,14,1,0,1,0,8,11.5,0.785306313893561,High Risk
236,0,19,16,8,1,1,0,0,5,11.4,0.7848227741025108,High Risk
237,0,43,17,12,0,1,0,0,3,10.666666666666666,0.7841282419190534,High Risk
238,1,20,8,15,1,1,0,0,5,12.4,0.7812630484067639,High Risk
239,0,22,11,8,1,1,0,0,4,12.25,0.7797740887157824,High Risk
240,0,25,17,12,0,1,0,0,3,11.0,0.7781658157046343,High Risk
241,0,30,17,12,0,1,0,0,3,10.333333333333334,0.7771825948726786,High Risk
242,1,20,7,8,1,1,0,0,4,11.5,0.7752323360860016,High Risk
243,0,21,12,1,1,1,0,0,4,13.25,0.7743661296182869,High Risk
244,1,19,7,9,1,1,0,0,5,11.833333333333334,0.7730576906712106,High Risk
245,1,20,5,1,1,1,0,0,4,12.0,0.7703074941588937,High Risk
246,1,21,2,15,1,1,0,0,0,0.0,0.7688664077876703,High Risk
247,0,32,12,4,1,1,0,0,4,13.625,0.7684006900277044,High Risk
248,0,20,16,8,1,1,0,0,6,11.666666666666666,0.7680352325255794,High Risk
249,1,21,13,1,1,1,0,1,5,11.2,0.7664702060554283,High Risk
250,1,20,7,8,1,1,0,0,4,12.0,0.7646009046970927,High Risk
251,0,33,16,12,1,0,1,0,7,12.857142857142858,0.7637869372578748,High Risk
252,0,22,2,8,1,1,1,0,12,11.833333333333334,0.7629582993016688,High Risk
253,0,26,6,12,1,0,0,0,6,15.428571428571429,0.7621642532709606,High Risk
254,0,19,12,1,1,1,0,0,4,12.85,0.760401040257865,High Risk
255,1,24,7,6,1,1,1,0,7,13.142857142857142,0.7592485569591095,High Risk
256,0,18,14,1,1,1,0,0,4,11.25,0.758169346313148,High Risk
257,1,28,4,12,1,1,0,0,8,11.625,0.7565634988100981,High Risk
258,0,36,9,12,1,1,0,0,3,11.0,0.7543609316243561,High Risk
259,0,20,10,8,1,1,0,1,2,10.0,0.7534907165904857,High Risk
260,1,27,9,1,1,1,0,0,3,10.0,0.750471703453095,High Risk
261,0,19,11,8,1,1,0,0,4,11.25,0.7502507492312415,High Risk
262,0,19,12,1,1,1,0,0,4,12.45,0.7426722692039046,High Risk
263,0,23,6,15,1,1,0,0,4,11.5,0.7423898162024367,High Risk
264,1,19,14,14,1,1,0,0,4,12.5,0.7422900634938564,High Risk
265,1,18,14,14,1,1,0,0,4,13.75,0.7369600063306379,High Risk
266,0,21,10,14,1,1,0,1,2,10.5,0.7344261856711608,High Risk
267,0,18,9,8,1,1,0,0,4,10.666666666666666,0.7323503706759411,High Risk
268,0,22,11,1,1,1,0,0,4,10.0,0.7309085183961228,High Risk
269,0,21,12,14,1,1,0,0,4,13.125,0.7213576195402105,High Risk
270,0,19,14,1,1,1,0,0,4,11.0,0.7189790235087677,High Risk
271,0,18,16,1,1,1,0,0,5,11.833333333333334,0.7179163483820765,High Risk
272,0,20,14,14,1,1,1,0,5,12.2,0.7136528672583252,High Risk
273,0,21,9,14,1,1,0,0,6,11.166666666666666,0.7095580187335561,High Risk
274,0,24,2,7,1,1,0,0,11,12.909090909090908,0.7079131624449084,High Risk
275,1,19,7,13,1,1,0,0,4,11.8,0.7070419442658573,High Risk
276,0,41,17,15,0,1,0,0,4,12.25,0.7068973799718128,High Risk
277,0,34,4,12,1,0,1,0,6,14.333333333333334,0.706229583826759,High Risk
278,0,18,12,1,1,1,0,0,6,13.345,0.7062059869665464,High Risk
279,0,19,16,1,1,1,0,0,5,12.2,0.7028782622942615,High Risk
280,0,33,9,4,1,1,0,0,5,12.6,0.7016445319800936,High Risk
281,1,21,9,1,1,1,0,0,3,11.25,0.7004266444718622,High Risk
