Tuition fees up to date,Debtor,Scholarship holder,financial_distress_score,financial_high_risk,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),approval_rate,eval_intensity,zero_approved_flag,zero_eval_flag,Gender,Age at enrollment,age_bin,marital_grouped,Daytime/evening attendance,app_mode_target_enc,course_target_enc,prev_qual_ordinal,app_order_clipped,mother_qual_tier,father_qual_tier,mother_occ_tier,father_occ_tier,ses_composite,gender_x_agebin,financial_x_zero_approved,tuition_overdue_x_zero_approved
1,0,0,1,0,6,6,8,12.333333333333334,1.0,1.3333333333333333,0,0,1,18,0,1,1,0.2802021129995407,0.3400673400673401,0,2,1,1,1,1,1.0,0,0,0
1,1,0,2,0,5,3,8,10.333333333333334,0.6,1.6,0,0,1,18,0,1,1,0.2802021129995407,0.4944649446494465,0,3,1,2,2,1,1.5,0,0,0
1,0,1,0,0,6,4,8,10.5,0.6666666666666666,1.3333333333333333,0,0,1,21,1,1,1,0.55625,0.45714285714285713,0,4,1,1,1,1,1.0,1,0,0
1,1,1,1,0,6,6,6,13.666666666666666,1.0,1.0,0,0,1,19,0,1,1,0.2802021129995407,0.3400673400673401,0,4,3,2,1,1,1.75,0,0,0
1,0,1,0,0,7,7,7,14.842857142857142,1.0,1.0,0,0,1,22,1,1,1,0.2802021129995407,0.17717717717717718,0,4,1,1,1,1,1.0,1,0,0
1,0,0,1,0,6,6,8,12.0,1.0,1.3333333333333333,0,0,1,33,3,2,0,0.55625,0.36597938144329895,0,1,1,1,1,2,1.25,3,0,0
1,0,0,1,0,6,5,8,12.2,0.8333333333333334,1.3333333333333333,0,0,1,20,0,1,1,0.2802021129995407,0.5985915492957746,0,5,1,2,1,1,1.25,0,0,0
1,0,0,1,0,1,0,1,0.0,0.0,1.0,1,0,1,35,3,1,0,0.55625,0.6355140186915887,2,1,4,4,1,1,2.5,3,1,0
1,1,0,2,0,12,6,17,12.166666666666666,0.5,1.4166666666666667,0,0,1,24,2,1,1,0.55625,0.4941860465116279,2,1,4,4,2,1,2.75,2,0,0
1,0,0,1,0,6,6,7,11.0,1.0,1.1666666666666667,0,0,0,33,3,2,0,0.55625,0.36597938144329895,0,1,1,1,1,2,1.25,0,0,0
1,0,1,0,0,8,7,8,13.08,0.875,1.0,0,0,0,22,1,1,1,0.55625,0.17717717717717718,0,1,1,1,1,1,1.0,0,0,0
1,0,1,0,0,5,4,7,10.5,0.8,1.4,0,0,0,25,2,1,1,0.55625,0.4337899543378995,0,1,3,2,2,1,2.0,0,0,0
1,0,0,1,0,6,6,9,10.666666666666666,1.0,1.5,0,0,1,20,0,1,1,0.2802021129995407,0.2786885245901639,0,1,1,1,2,0,1.0,0,0,0
1,0,0,1,0,7,0,18,0.0,0.0,2.5714285714285716,1,0,1,24,2,1,1,0.55625,0.17717717717717718,0,1,3,3,2,0,2.0,2,1,0
0,0,0,2,0,6,6,6,14.0,1.0,1.0,0,0,0,21,1,1,1,0.2802021129995407,0.3400673400673401,0,2,1,3,1,1,1.5,0,0,0
1,0,0,1,0,6,2,7,12.0,0.3333333333333333,1.1666666666666667,0,0,0,26,2,1,1,0.36666666666666664,0.65,0,1,3,3,2,2,2.5,0,0,0
1,0,0,1,0,6,3,12,12.666666666666666,0.5,2.0,0,0,0,39,4,2,1,0.55625,0.5985915492957746,2,1,1,1,0,0,0.5,0,0,0
1,0,0,1,0,8,8,11,11.875,1.0,1.375,0,0,0,44,4,2,0,0.55625,0.36597938144329895,0,1,1,2,1,1,1.25,0,0,0
1,0,0,1,0,6,6,6,13.666666666666666,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.3400673400673401,0,5,1,3,1,1,1.5,0,0,0
1,0,1,0,0,7,7,7,13.75,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,5,1,1,1,1,1.0,0,0,0
0,1,0,3,1,7,4,10,11.96,0.5714285714285714,1.4285714285714286,0,0,0,19,0,1,1,0.2802021129995407,0.17717717717717718,0,4,4,4,1,1,2.5,0,0,0
1,0,0,1,0,10,8,12,12.875,0.8,1.2,0,0,0,21,1,1,1,0.2802021129995407,0.3423076923076923,1,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,0,0,0,0.0,0.0,0.0,1,1,0,20,0,1,1,0.2802021129995407,0.4606741573033708,0,4,3,3,1,0,1.75,0,1,0
1,0,0,1,0,6,0,0,0.0,0.0,0.0,1,1,0,36,4,2,0,0.55625,0.36597938144329895,0,1,1,1,2,1,1.25,0,1,0
1,0,0,1,0,18,18,19,14.63157894736842,1.0,1.0555555555555556,0,0,0,43,4,3,1,0.55625,0.4941860465116279,1,1,1,1,1,2,1.25,0,0,0
1,0,0,1,0,6,0,0,0.0,0.0,0.0,1,1,0,19,0,1,1,0.55625,0.5985915492957746,0,1,1,2,1,1,1.25,0,1,0
1,1,0,2,0,10,10,12,13.0,1.0,1.2,0,0,0,20,0,1,1,0.55625,0.2786885245901639,0,1,4,3,1,1,2.25,0,0,0
1,0,0,1,0,6,0,0,0.0,0.0,0.0,1,1,0,19,0,1,1,0.2802021129995407,0.20967741935483872,0,2,1,1,2,1,1.25,0,1,0
1,0,0,1,0,6,4,15,14.2,0.6666666666666666,2.5,0,0,0,20,0,1,1,0.2802021129995407,0.3423076923076923,0,1,3,3,2,2,2.5,0,0,0
1,0,0,1,0,7,6,9,13.266666666666666,0.8571428571428571,1.2857142857142858,0,0,0,20,0,1,1,0.2802021129995407,0.17717717717717718,0,5,4,4,2,2,3.0,0,0,0
1,0,0,1,0,6,6,8,13.857142857142858,1.0,1.3333333333333333,0,0,0,18,0,1,1,0.2802021129995407,0.20967741935483872,0,1,1,1,2,1,1.25,0,0,0
1,0,0,1,0,5,5,6,13.4,1.0,1.2,0,0,0,19,0,1,1,0.2802021129995407,0.3423076923076923,0,1,1,2,1,1,1.25,0,0,0
1,0,0,1,0,6,6,6,12.666666666666666,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.3400673400673401,0,3,3,1,2,1,1.75,0,0,0
1,0,0,1,0,7,6,7,12.516666666666666,0.8571428571428571,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,2,1,1,1,1,1.0,0,0,0
1,0,0,1,0,5,5,12,13.142857142857142,1.0,2.4,0,0,0,18,0,1,1,0.2802021129995407,0.3423076923076923,0,2,1,1,1,1,1.0,0,0,0
1,0,0,1,0,5,5,5,12.6,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.4944649446494465,0,1,4,2,2,1,2.25,0,0,0
1,0,0,1,0,6,3,12,11.0,0.5,2.0,0,0,0,21,1,1,1,0.2802021129995407,0.45714285714285713,0,1,3,3,2,1,2.25,0,0,0
1,0,0,1,0,5,5,8,10.8,1.0,1.6,0,0,0,19,0,1,1,0.2802021129995407,0.4944649446494465,0,2,1,2,1,1,1.25,0,0,0
1,0,0,1,0,0,0,0,0.0,0.0,0.0,1,1,0,19,0,1,1,0.2802021129995407,0.4606741573033708,0,1,4,2,1,1,2.0,0,1,0
1,0,1,0,0,5,5,5,12.8,1.0,1.0,0,0,0,19,0,1,1,0.2802021129995407,0.4337899543378995,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,6,6,15,14.166666666666666,1.0,2.5,0,0,0,19,0,1,1,0.2802021129995407,0.3423076923076923,0,1,1,1,2,1,1.25,0,0,0
1,0,0,1,0,7,5,12,12.1,0.7142857142857143,1.7142857142857142,0,0,0,19,0,1,1,0.2802021129995407,0.4782608695652174,0,5,3,3,2,1,2.25,0,0,0
1,0,0,1,0,6,6,7,14.166666666666666,1.0,1.1666666666666667,0,0,0,20,0,1,1,0.55625,0.3423076923076923,1,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,6,6,7,13.0,1.0,1.1666666666666667,0,0,0,18,0,1,1,0.2802021129995407,0.20967741935483872,0,3,3,1,1,2,1.75,0,0,0
1,0,0,1,0,7,7,7,13.467142857142855,1.0,1.0,0,0,0,19,0,1,1,0.2802021129995407,0.17717717717717718,0,5,3,1,1,1,1.5,0,0,0
1,0,1,0,0,7,7,9,13.2375,1.0,1.2857142857142858,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,3,1,2,1,1,1.25,0,0,0
1,0,0,1,0,6,6,6,12.333333333333334,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.2786885245901639,0,2,1,1,1,1,1.0,0,0,0
1,0,0,1,0,5,5,7,12.4,1.0,1.4,0,0,0,19,0,1,1,0.2802021129995407,0.4944649446494465,0,4,3,2,2,1,2.0,0,0,0
1,0,0,1,0,7,5,8,14.0,0.7142857142857143,1.1428571428571428,0,0,0,19,0,1,1,0.2802021129995407,0.17717717717717718,0,5,3,2,2,2,2.25,0,0,0
1,0,0,1,0,9,9,15,11.666666666666666,1.0,1.6666666666666667,0,0,0,20,0,1,1,0.55625,0.20967741935483872,0,1,1,1,1,1,1.0,0,0,0
0,1,1,2,1,6,5,7,12.0,0.8333333333333334,1.1666666666666667,0,0,0,19,0,1,1,0.2802021129995407,0.4337899543378995,0,1,3,1,2,1,1.75,0,0,0
1,0,0,1,0,5,4,7,12.2,0.8,1.4,0,0,0,20,0,1,1,0.2802021129995407,0.4337899543378995,0,1,1,2,1,1,1.25,0,0,0
1,1,1,1,0,6,6,6,14.833333333333334,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.3400673400673401,0,1,3,3,2,2,2.5,0,0,0
1,0,0,1,0,7,7,8,17.125,1.0,1.1428571428571428,0,0,0,18,0,1,1,0.55625,0.17717717717717718,0,1,1,3,2,1,1.75,0,0,0
1,0,0,1,0,7,6,7,12.666666666666666,0.8571428571428571,1.0,0,0,0,19,0,1,1,0.2802021129995407,0.17717717717717718,0,5,1,1,1,1,1.0,0,0,0
1,0,1,0,0,6,6,8,12.666666666666666,1.0,1.3333333333333333,0,0,0,19,0,1,1,0.2802021129995407,0.3400673400673401,0,5,1,3,2,2,2.0,0,0,0
1,0,1,0,0,6,6,7,11.333333333333334,1.0,1.1666666666666667,0,0,0,19,0,1,1,0.2802021129995407,0.20967741935483872,0,3,3,1,1,0,1.25,0,0,0
1,0,1,0,0,7,7,10,13.605,1.0,1.4285714285714286,0,0,0,19,0,1,1,0.2802021129995407,0.17717717717717718,0,3,1,2,1,1,1.25,0,0,0
1,0,1,0,0,6,5,10,12.0,0.8333333333333334,1.6666666666666667,0,0,0,19,0,1,1,0.2802021129995407,0.5985915492957746,0,5,1,1,1,2,1.25,0,0,0
1,0,0,1,0,5,0,10,0.0,0.0,2.0,1,0,0,19,0,1,1,0.2802021129995407,0.45714285714285713,0,4,1,2,1,1,1.25,0,1,0
1,0,0,1,0,6,5,8,11.2,0.8333333333333334,1.3333333333333333,0,0,0,20,0,1,1,0.2802021129995407,0.45714285714285713,0,1,3,1,1,0,1.25,0,0,0
1,0,0,1,0,5,5,10,13.375,1.0,2.0,0,0,0,18,0,1,1,0.2802021129995407,0.4944649446494465,0,1,4,2,1,0,1.75,0,0,0
1,0,1,0,0,7,6,8,13.863333333333337,0.8571428571428571,1.1428571428571428,0,0,0,20,0,1,1,0.2802021129995407,0.17717717717717718,0,1,3,2,1,1,1.75,0,0,0
1,0,0,1,0,5,5,6,12.4,1.0,1.2,0,0,0,19,0,1,1,0.2802021129995407,0.3423076923076923,0,1,3,1,2,1,1.75,0,0,0
1,0,0,1,0,6,6,7,13.333333333333334,1.0,1.1666666666666667,0,0,0,18,0,1,1,0.2802021129995407,0.5985915492957746,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,6,3,10,12.666666666666666,0.5,1.6666666666666667,0,0,0,21,1,1,1,0.55625,0.5985915492957746,0,1,4,1,1,1,1.75,0,0,0
1,0,0,1,0,6,6,8,12.0,1.0,1.3333333333333333,0,0,0,19,0,1,1,0.2802021129995407,0.5985915492957746,0,1,1,1,2,2,1.5,0,0,0
1,0,1,0,0,5,5,5,10.6,1.0,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.4944649446494465,0,1,1,1,1,1,1.0,0,0,0
1,0,1,0,0,6,6,8,12.25,1.0,1.3333333333333333,0,0,0,18,0,1,1,0.2802021129995407,0.20967741935483872,0,2,3,1,1,1,1.5,0,0,0
1,0,0,1,0,6,4,10,11.0,0.6666666666666666,1.6666666666666667,0,0,0,20,0,1,1,0.2802021129995407,0.20967741935483872,0,3,1,3,1,0,1.25,0,0,0
1,0,1,0,0,6,5,11,11.0,0.8333333333333334,1.8333333333333333,0,0,0,24,2,1,0,0.55625,0.36597938144329895,0,1,3,2,2,1,2.0,0,0,0
1,0,0,1,0,6,6,6,13.166666666666666,1.0,1.0,0,0,0,19,0,1,1,0.2802021129995407,0.4337899543378995,0,1,1,3,2,1,1.75,0,0,0
1,0,1,0,0,7,7,9,12.855555555555554,1.0,1.2857142857142858,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,7,7,8,14.91875,1.0,1.1428571428571428,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,2,1,2,1,1,1.25,0,0,0
1,0,0,1,0,6,4,13,11.5,0.6666666666666666,2.1666666666666665,0,0,0,21,1,1,1,0.2802021129995407,0.5985915492957746,0,5,1,1,2,2,1.5,0,0,0
1,0,0,1,0,5,5,5,14.2,1.0,1.0,0,0,0,19,0,1,1,0.2802021129995407,0.4337899543378995,0,2,3,2,1,2,2.0,0,0,0
1,0,1,0,0,6,6,6,12.5,1.0,1.0,0,0,0,19,0,1,1,0.2802021129995407,0.3400673400673401,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,6,5,10,11.666666666666666,0.8333333333333334,1.6666666666666667,0,0,0,19,0,1,1,0.2802021129995407,0.20967741935483872,0,3,1,2,1,1,1.25,0,0,0
1,0,0,1,0,8,7,8,14.257142857142856,0.875,1.0,0,0,0,29,3,1,1,0.55625,0.17717717717717718,2,1,4,4,1,1,2.5,0,0,0
1,0,0,1,0,6,3,13,12.0,0.5,2.1666666666666665,0,0,0,21,1,1,1,0.55625,0.20967741935483872,0,1,1,2,2,1,1.5,0,0,0
1,0,0,1,0,7,7,8,12.457142857142856,1.0,1.1428571428571428,0,0,0,20,0,1,1,0.2802021129995407,0.4782608695652174,0,2,1,1,2,0,1.0,0,0,0
1,0,0,1,0,7,6,7,11.683333333333332,0.8571428571428571,1.0,0,0,0,19,0,1,1,0.2802021129995407,0.17717717717717718,0,1,4,1,2,1,2.0,0,0,0
1,0,0,1,0,6,3,10,11.666666666666666,0.5,1.6666666666666667,0,0,0,26,2,1,0,0.55625,0.36597938144329895,0,1,1,4,2,2,2.25,0,0,0
0,1,0,3,1,6,4,8,11.75,0.6666666666666666,1.3333333333333333,0,0,0,20,0,1,1,0.2802021129995407,0.45714285714285713,0,2,1,1,1,1,1.0,0,0,0
1,0,0,1,0,6,5,9,13.2,0.8333333333333334,1.5,0,0,0,27,2,1,1,0.55625,0.5985915492957746,0,1,1,2,1,1,1.25,0,0,0
1,0,0,1,0,7,4,8,11.95,0.5714285714285714,1.1428571428571428,0,0,0,20,0,1,1,0.2802021129995407,0.17717717717717718,0,2,3,1,0,0,1.0,0,0,0
1,0,0,1,0,6,5,8,12.4,0.8333333333333334,1.3333333333333333,0,0,0,18,0,1,1,0.2802021129995407,0.5985915492957746,0,5,1,2,1,1,1.25,0,0,0
1,0,0,1,0,7,6,8,14.35,0.8571428571428571,1.1428571428571428,0,0,0,33,3,1,1,0.6412213740458015,0.17717717717717718,2,1,3,3,1,1,2.0,0,0,0
1,0,0,1,0,21,21,21,12.61904761904762,1.0,1.0,0,0,0,35,3,1,1,0.55625,0.5985915492957746,0,1,4,3,2,2,2.75,0,0,0
0,1,0,3,1,6,5,6,12.0,0.8333333333333334,1.0,0,0,0,27,2,1,1,0.55625,0.3400673400673401,1,1,1,2,2,2,1.75,0,0,0
0,0,0,2,0,6,6,6,12.166666666666666,1.0,1.0,0,0,0,19,0,1,1,0.55625,0.2786885245901639,0,3,3,1,1,1,1.5,0,0,0
1,0,0,1,0,6,0,0,0.0,0.0,0.0,1,1,0,20,0,1,1,0.2802021129995407,0.45714285714285713,0,2,3,2,2,2,2.25,0,1,0
0,1,0,3,1,5,3,9,10.0,0.6,1.8,0,0,0,20,0,1,1,0.55625,0.4944649446494465,0,2,4,4,1,1,2.5,0,0,0
1,0,1,0,0,7,6,7,13.05,0.8571428571428571,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,3,1,3,1,2,1.75,0,0,0
1,0,0,1,0,6,2,10,11.0,0.3333333333333333,1.6666666666666667,0,0,0,24,2,1,1,0.55625,0.3423076923076923,0,1,3,2,1,1,1.75,0,0,0
1,0,0,1,0,6,6,7,11.5,1.0,1.1666666666666667,0,0,0,20,0,1,1,0.2802021129995407,0.2786885245901639,0,4,3,4,2,1,2.5,0,0,0
1,0,1,0,0,6,6,7,12.0,1.0,1.1666666666666667,0,0,0,21,1,1,1,0.2802021129995407,0.45714285714285713,0,1,1,1,1,1,1.0,0,0,0
1,0,0,1,0,5,0,5,0.0,0.0,1.0,1,0,0,24,2,1,1,0.55625,0.4944649446494465,0,1,1,4,2,2,2.25,0,1,0
1,0,0,1,0,6,0,0,0.0,0.0,0.0,1,1,0,21,1,1,1,0.55625,0.5985915492957746,0,1,3,3,2,0,2.0,0,1,0
1,0,0,1,0,8,7,8,12.242857142857144,0.875,1.0,0,0,0,18,0,1,1,0.2802021129995407,0.17717717717717718,0,4,1,1,1,1,1.0,0,0,0
1,0,0,1,0,5,0,0,0.0,0.0,0.0,1,1,0,27,2,1,0,0.55625,0.6355140186915887,1,1,1,3,2,2,2.0,0,1,0
